"","Season_ID","Season","League","Player_ID","Players","Points","Clubs","Position","Start","Goals","A","CS","CS.part","Yellow","Red","Sub","CO","Off","Pen.SV","Pen.M","Goals.conceded","Conceded.1.","OG"
"1","22/23-LL","2022/2023","La Liga","22/23-Robert Lewandowski","Robert Lewandowski",198,"BARC","Forward",33,23,7,"-","-",3,0,1,1,5,"-",1,"-","-",0
"2","22/23-LL","2022/2023","La Liga","22/23-Antoine Griezmann","Antoine Griezmann",190,"","Forward",31,15,16,"-","-",2,0,7,7,8,"-",0,"-","-",0
"3","22/23-LL","2022/2023","La Liga","22/23-Marc-Andre ter Stegen","Marc-Andre ter Stegen",172,"BARC","Goalkeeper",38,0,0,"26","0",0,0,0,0,2,"0",0,"20","8",0
"4","22/23-LL","2022/2023","La Liga","22/23-Borja Iglesias","Borja Iglesias",158,"BETI","Defender",29,15,3,"1","12",2,1,6,6,22,"-",1,"33","11",0
"5","22/23-LL","2022/2023","La Liga","22/23-Joselu","Joselu",151,"RCDE","Forward",33,16,2,"-","-",2,0,2,1,0,"-",0,"-","-",0
"6","22/23-LL","2022/2023","La Liga","22/23-Alejandro Balde","Alejandro Balde",149,"BARC","Defender",30,1,6,"14","9",4,0,7,3,9,"-",0,"17","7",0
"7","22/23-LL","2022/2023","La Liga","22/23-Karim Benzema","Karim Benzema",147,"MADR","Forward",24,19,3,"-","-",1,0,0,0,6,"-",2,"-","-",0
"8","22/23-LL","2022/2023","La Liga","22/23-Vedat Muriqi","Vedat Muriqi",142,"MALL","Forward",34,15,3,"-","-",6,1,1,1,17,"-",1,"-","-",0
"9","22/23-LL","2022/2023","La Liga","22/23-Enes Unal","Enes Unal",141,"","Forward",35,14,3,"-","-",6,0,0,0,16,"-",1,"-","-",0
"10","22/23-LL","2022/2023","La Liga","22/23-Jules Kounde","Jules Kounde",138,"BARC","Defender",28,1,3,"18","3",2,0,3,1,4,"-",0,"14","6",1
"11","22/23-LL","2022/2023","La Liga","22/23-Iago Aspas","Iago Aspas",130,"RCCV","Forward",31,12,3,"-","-",5,0,6,6,4,"-",1,"-","-",0
"12","22/23-LL","2022/2023","La Liga","22/23-Vinicius Junior","Vinicius Junior",129,"MADR","Forward",32,10,9,"-","-",10,1,1,1,9,"-",0,"-","-",0
"13","22/23-LL","2022/2023","La Liga","22/23-Alejandro Remiro","Alejandro Remiro",128,"RESO","Goalkeeper",38,0,0,"15","0",1,0,0,0,0,"1",0,"35","12",0
"14","22/23-LL","2022/2023","La Liga","22/23-Alexander Sorloth","Alexander Sorloth",127,"RESO","Forward",28,12,3,"-","-",4,0,6,6,20,"-",0,"-","-",0
"15","22/23-LL","2022/2023","La Liga","22/23-Alvaro Morata","Alvaro Morata",126,"","Forward",23,13,2,"-","-",4,0,14,13,20,"-",0,"-","-",0
"16","22/23-LL","2022/2023","La Liga","22/23-Inaki Williams","Inaki Williams",125,"ATBI","Forward",34,10,3,"-","-",2,0,2,2,19,"-",1,"-","-",0
"17","22/23-LL","2022/2023","La Liga","22/23-Isi Palazon","Isi Palazon",125,"RAVA","Forward",36,9,5,"-","-",4,0,1,1,25,"-",2,"-","-",0
"18","22/23-LL","2022/2023","La Liga","22/23-David Soria","David Soria",125,"","Goalkeeper",38,0,0,"13","0",3,0,0,0,0,"4",0,"45","20",0
"19","22/23-LL","2022/2023","La Liga","22/23-Rodrygo","Rodrygo",123,"MADR","Forward",25,9,8,"-","-",4,0,9,8,10,"-",0,"-","-",0
"20","22/23-LL","2022/2023","La Liga","22/23-Valentin Castellanos","Valentin Castellanos",122,"","Forward",33,13,0,"-","-",11,0,2,2,25,"-",0,"-","-",0
"21","22/23-LL","2022/2023","La Liga","22/23-Gabriel Veiga","Gabriel Veiga",122,"RCCV","Midfielder",28,11,4,"-","-",6,1,8,8,24,"-",0,"-","-",0
"22","22/23-LL","2022/2023","La Liga","22/23-Takefusa Kubo","Takefusa Kubo",118,"RESO","Midfielder",29,9,4,"-","-",3,0,8,6,22,"-",0,"-","-",0
"23","22/23-LL","2022/2023","La Liga","22/23-Eder Militao","Eder Militao",117,"MADR","Defender",30,5,0,"10","2",4,0,5,3,2,"-",0,"32","11",0
"24","22/23-LL","2022/2023","La Liga","22/23-Nahuel Molina","Nahuel Molina",115,"","Defender",33,4,2,"9","2",7,1,1,0,4,"-",0,"29","7",0
"25","22/23-LL","2022/2023","La Liga","22/23-Oihan Sancet","Oihan Sancet",115,"ATBI","Midfielder",32,10,2,"-","-",6,1,4,4,25,"-",0,"-","-",0
"26","22/23-LL","2022/2023","La Liga","22/23-Sergi Darder","Sergi Darder",111,"RCDE","Midfielder",38,6,3,"-","-",4,0,0,0,7,"-",0,"-","-",0
