"","Season_ID","Season","League","Rk","Team_ID","Squad","X..Pl","Weekly_Wages_pounds","Annual_Wages_pounds","X..Estimated"
"1","13/14-LL","2013-2014","La Liga",1,"13/14-Barcelona","Barcelona",33,2874391,149468309,"100%"
"2","13/14-LL","2013-2014","La Liga",2,"13/14-Real Madrid","Real Madrid",35,2188313,113792296,"100%"
"3","13/14-LL","2013-2014","La Liga",3,"13/14-Atlético Madrid","Atlético Madrid",41,784925,40816075,"100%"
"4","13/14-LL","2013-2014","La Liga",4,"13/14-Valencia","Valencia",43,501138,26059168,"100%"
"5","13/14-LL","2013-2014","La Liga",5,"13/14-Sevilla","Sevilla",44,406322,21128735,"100%"
"6","13/14-LL","2013-2014","La Liga",6,"13/14-Athletic Club","Athletic Club",32,299283,15562715,"100%"
"7","13/14-LL","2013-2014","La Liga",7,"13/14-Málaga","Málaga",31,266936,13880669,"100%"
"8","13/14-LL","2013-2014","La Liga",8,"13/14-Real Sociedad","Real Sociedad",34,263130,13682780,"100%"
"9","13/14-LL","2013-2014","La Liga",9,"13/14-Betis","Betis",47,239104,12433400,"100%"
"10","13/14-LL","2013-2014","La Liga",10,"13/14-Villarreal","Villarreal",31,235314,12236353,"100%"
"11","13/14-LL","2013-2014","La Liga",11,"13/14-Getafe","Getafe",34,234847,12212037,"100%"
"12","13/14-LL","2013-2014","La Liga",12,"13/14-Espanyol","Espanyol",28,202484,10529149,"100%"
"13","13/14-LL","2013-2014","La Liga",13,"13/14-Elche","Elche",35,174668,9082722,"100%"
"14","13/14-LL","2013-2014","La Liga",14,"13/14-Osasuna","Osasuna",31,169621,8820270,"100%"
"15","13/14-LL","2013-2014","La Liga",15,"13/14-Granada","Granada",48,164622,8560331,"100%"
"16","13/14-LL","2013-2014","La Liga",16,"13/14-Levante","Levante",36,156221,8123471,"100%"
"17","13/14-LL","2013-2014","La Liga",17,"13/14-Rayo Vallecano","Rayo Vallecano",34,155076,8063936,"100%"
"18","13/14-LL","2013-2014","La Liga",18,"13/14-Celta Vigo","Celta Vigo",32,140515,7306763,"100%"
"19","13/14-LL","2013-2014","La Liga",19,"13/14-Almería","Almería",37,128792,6697170,"100%"
"20","13/14-LL","2013-2014","La Liga",20,"13/14-Valladolid","Valladolid",31,116859,6076670,"100%"
