"","Season_ID","Season","League","Rk","Team_ID","Squad","X..Pl","Weekly_Wages_pounds","Annual_Wages_pounds","X..Estimated"
"1","13/14-PL","2013-2014","Premier League",1,"13/14-Manchester City","Manchester City",28,2177962,113254000,"100%"
"2","13/14-PL","2013-2014","Premier League",2,"13/14-Chelsea","Chelsea",49,1979269,102922000,"100%"
"3","13/14-PL","2013-2014","Premier League",3,"13/14-Manchester Utd","Manchester Utd",37,1871000,97292000,"100%"
"4","13/14-PL","2013-2014","Premier League",4,"13/14-Arsenal","Arsenal",41,1384500,71994000,"100%"
"5","13/14-PL","2013-2014","Premier League",5,"13/14-Liverpool","Liverpool",35,1262442,65647000,"100%"
"6","13/14-PL","2013-2014","Premier League",6,"13/14-Everton","Everton",35,1016154,52840000,"100%"
"7","13/14-PL","2013-2014","Premier League",7,"13/14-Tottenham","Tottenham",42,985596,51251000,"100%"
"8","13/14-PL","2013-2014","Premier League",8,"13/14-West Ham","West Ham",45,908981,47267000,"100%"
"9","13/14-PL","2013-2014","Premier League",9,"13/14-Sunderland","Sunderland",39,799327,41565000,"100%"
"10","13/14-PL","2013-2014","Premier League",10,"13/14-Newcastle Utd","Newcastle Utd",37,700923,36448000,"100%"
"11","13/14-PL","2013-2014","Premier League",11,"13/14-West Brom","West Brom",33,664288,34543000,"100%"
"12","13/14-PL","2013-2014","Premier League",12,"13/14-Stoke City","Stoke City",33,652442,33927000,"100%"
"13","13/14-PL","2013-2014","Premier League",13,"13/14-Fulham","Fulham",48,640904,33327000,"100%"
"14","13/14-PL","2013-2014","Premier League",14,"13/14-Aston Villa","Aston Villa",36,635500,33046000,"100%"
"15","13/14-PL","2013-2014","Premier League",15,"13/14-Southampton","Southampton",35,536654,27906000,"100%"
"16","13/14-PL","2013-2014","Premier League",16,"13/14-Cardiff City","Cardiff City",42,536000,27872000,"100%"
"17","13/14-PL","2013-2014","Premier League",17,"13/14-Norwich City","Norwich City",32,535173,27829000,"100%"
