,Season_ID,Season,League,Team_ID,Champions,Games_Won,Player_ID,Top_Goal_Scorer,Goals_Scored
1,89/90-LL,1989-1990,La Liga,89/90-Real Madrid,Real Madrid,26,89/90-Hugo Sánchez,Hugo Sánchez,38
2,89/90-PL,1989-1990,Premier League,89/90-Liverpool,Liverpool,23,89/90-NA,NA,NA
3,90/91-LL,1990-1991,La Liga,90/91-Barcelona,Barcelona,25,90/91-Emilio Butragueño,Emilio Butragueño,19
4,90/91-PL,1990-1991,Premier League,90/91-Arsenal,Arsenal,24,90/91-NA,NA,NA
5,91/92-LL,1991-1992,La Liga,91/92-Barcelona,Barcelona,23,91/92-Manolo,Manolo,27
6,91/92-PL,1991-1992,Premier League,91/92-Leeds United,Leeds United,22,91/92-NA,NA,NA
7,92/93-LL,1992-1993,La Liga,92/93-Barcelona,Barcelona,25,92/93-Bebeto,Bebeto,29
8,92/93-PL,1992-1993,Premier League,92/93-Manchester Utd,Manchester Utd,24,92/93-Teddy Sheringham,Teddy Sheringham,22
9,93/94-LL,1993-1994,La Liga,93/94-Barcelona,Barcelona,25,93/94-Romário,Romário,30
10,93/94-PL,1993-1994,Premier League,93/94-Manchester Utd,Manchester Utd,27,93/94-Andy Cole,Andy Cole,34
11,94/95-LL,1994-1995,La Liga,94/95-Real Madrid,Real Madrid,23,94/95-Iván Zamorano,Iván Zamorano,28
12,94/95-PL,1994-1995,Premier League,94/95-Blackburn,Blackburn,27,94/95-Alan Shearer,Alan Shearer,34
13,95/96-LL,1995-1996,La Liga,95/96-Atlético Madrid,Atlético Madrid,26,95/96-Juan Antonio Pizzi,Juan Antonio Pizzi,31
14,95/96-PL,1995-1996,Premier League,95/96-Manchester Utd,Manchester Utd,25,95/96-Alan Shearer,Alan Shearer,31
15,96/97-LL,1996-1997,La Liga,96/97-Real Madrid,Real Madrid,27,96/97-Ronaldo,Ronaldo,34
16,96/97-PL,1996-1997,Premier League,96/97-Manchester Utd,Manchester Utd,21,96/97-Alan Shearer,Alan Shearer,25
17,97/98-LL,1997-1998,La Liga,97/98-Barcelona,Barcelona,23,97/98-Christian Vieri,Christian Vieri,24
18,97/98-PL,1997-1998,Premier League,97/98-Arsenal,Arsenal,23,97/98-Michael Owen,Michael Owen,18
19,98/99-LL,1998-1999,La Liga,98/99-Barcelona,Barcelona,24,98/99-Raúl,Raúl,25
20,98/99-PL,1998-1999,Premier League,98/99-Manchester Utd,Manchester Utd,22,98/99-Jimmy Floyd Hasselbaink,Jimmy Floyd Hasselbaink,18
21,99/00-LL,1999-2000,La Liga,99/00-La Coruña,La Coruña,21,99/00-Salva Ballesta,Salva Ballesta,27
22,99/00-PL,1999-2000,Premier League,99/00-Manchester Utd,Manchester Utd,28,99/00-Kevin Phillips,Kevin Phillips,30
23,00/01-LL,2000-2001,La Liga,00/01-Real Madrid,Real Madrid,24,00/01-Raúl,Raúl,24
24,00/01-PL,2000-2001,Premier League,00/01-Manchester Utd,Manchester Utd,24,00/01-Jimmy Floyd Hasselbaink,Jimmy Floyd Hasselbaink,23
25,01/02-LL,2001-2002,La Liga,01/02-Valencia,Valencia,21,01/02-Diego Tristán,Diego Tristán,21
26,01/02-PL,2001-2002,Premier League,01/02-Arsenal,Arsenal,26,01/02-Thierry Henry,Thierry Henry,24
27,02/03-LL,2002-2003,La Liga,02/03-Real Madrid,Real Madrid,22,02/03-Roy Makaay,Roy Makaay,29
28,02/03-PL,2002-2003,Premier League,02/03-Manchester Utd,Manchester Utd,25,02/03-Ruud van Nistelrooy,Ruud van Nistelrooy,25
29,03/04-LL,2003-2004,La Liga,03/04-Valencia,Valencia,23,03/04-Ronaldo,Ronaldo,24
30,03/04-PL,2003-2004,Premier League,03/04-Arsenal,Arsenal,26,03/04-Thierry Henry,Thierry Henry,30
